"SiteID","Domain","Site.Status","Site.Long.Name","Latitude","Longitude","Time.Zone","Core.Relocatable","Site.Heating","Permafrost.Site.","DFIR.Hut.Support","EC.SE.Dehumidifier.Site.","Tower.Height..ft.","Tower.Support.Type","Num.of.Tower.sections","Tower.Section..1.Section.Type","Tower.Section..2.Section.Type","Uppermost.Heavy.Extreme.Tower.section","FAA.Lights.Required.","Num.of.MLs","Profile.Boom.Style","ML2.Tower.section","ML3.Tower.section","ML4.Tower.Section","Tower.Top.Boom.Style","Tower.Top.EC.Boom","Tower.Top.Rad.Boom","Tower.Top.Temp.Boom","SE.Rad.Boom.Face","CIMEL.corner","Tipping.Bucket.Corner","NEMA.face","Up.Down.PAR.direction","X","Particulate.Site.","Wet.Dep.Site.","BGMS.Site.","Gas.Profile.Vapor.Site","Gas.Profile.Orifice.Size","Gas.Profile.Pump.Altitude.Type","Extreme.Heated.Site.but.Standard.Heat.ATS.ATT.","Soil.Throughfall.per.plot","Soil.CO2.per.plot","High.Water.Level.Soil.Plots.Site","Soil.CO2.type","Soil.Plot.count","Soil.Temp.site.specific.config.used.","Permafrost.site.","PM.Code","DP1.00007.001","DP1.00001.001","DP1.00002.001","DP1.00003.001","DP1.00024.001","DP1.00014.001","DP1.00022.001","DP1.00023.001","DP1.00066.001","DP1.00006.001","DP1.00040.001","DP1.00034.001","DP1.00041.001.001","DP1.00041.001.002","DP1.00041.001.003","DP1.00041.001.004","DP1.00041.001.005"
"HARV","D01","A-FY14","Harvard Forest",42.5369,-72.17266,"US/Eastern","Core","Heated","No","No Power, Yes Fiber","Yes",127,"Guyed",11,"Standard","Standard",0,"No",6,"Split",2,5,7,"Combined","CB","BA","BA","D","y-AD","y-CD","C","Right","NA","No","Yes","No","Yes",42,"Standard",,5,3,"No","GMP343",5,"No","No","D01C",1,5,5,1,6,1,1,2,3,1,3,1,9,9,9,9,9
"BART","D01","A-FY14","Bartlett Experimental Forest",44.06388,-71.28731,"US/Eastern","Relocatable","Heated","No","N/A","No",116,"Guyed",10,"Standard","Standard",0,"No",6,"Combined",1,5,6,"Combined","CB","BA","BA","D","y-AD","y-CD","C","Right","NA","No","Yes","No","No",42,"Standard",,4,3,"No","GMP343",5,"No","No","D01R1",1,5,5,1,6,1,0,2,3,0,3,1,9,9,9,9,9
"SERC","D02","D-FY15-3","Smithsonian Environmental Research Center",38.89008,-76.56001,"US/Eastern","Relocatable","Heated","No","N/A","No",204,"Guyed",18,"Heavy","Heavy",5,"L-864/L-865",6,"Combined",2,5,9,"Combined","CB","BA","BA","D","y-AB","y-CD","C","Right","NA","No","Yes","No","No",42,"Standard",,4,3,"No","GMP343",5,"Yes","No","D02R1",1,5,5,1,6,1,0,2,3,0,3,1,9,9,9,9,9
"SCBI","D02","A-FY14","Smithsonian Conservation Biology Institute",38.89292,-78.1395,"US/Eastern","Core","Heated","No","No Power, Yes Fiber","Yes",171,"Guyed",15,"Standard","Standard",0,"No",6,"Split",2,5,9,"Combined","CB","BA","BA","D","y-AD","y-CD","C","Right","NA","No","Yes","No","Yes",42,"Standard",,5,3,"No","GMP343",5,"Yes","No","D02C",1,5,5,1,6,1,1,2,3,1,3,1,9,9,9,9,9
"BLAN","D02","1-FY14","Blandy Experimental Farm",39.06026,-78.07164,"US/Eastern","Relocatable","Heated","No","N/A","No",26,"Self Supporting",2,"Standard","Standard",2,"No",4,"Combined",1,2,3,"Combined","CB","BA","BA","D","AB","y-CD","C","Right","NA","No","Yes","No","No",42,"Standard",,4,3,"No","GMP343",5,"Yes","No","D02R2",1,3,3,1,4,1,0,2,3,0,3,1,9,9,9,9,9
"OSBS","D03","0-FY13","Ordway-Swisher Biological Station",19.55309,-155.31731,"US/Eastern","Core","Non-heated","No","No Power, Yes Fiber","Yes",116,"Guyed",10,"Standard","Standard",0,"No",6,"Combined",1,3,5,"Combined","DA","AB","AB","C","y-AB","y-CD","D","Left","NA","No","Yes","No","Yes",42,"Standard",,5,3,"No","GMP343",5,"Yes","No","D03C",1,5,5,1,6,1,1,2,3,1,3,1,9,9,9,9,9
"JERC","D03","1-FY14","Jones Ecological Research Center",31.19484,-84.46861,"US/Eastern","Relocatable","Non-heated","No","N/A","No",138,"Guyed",12,"Heavy","Heavy",2,"No",6,"Split",2,5,7,"Combined","DA","AB","AB","C","AB","y-CD","D","Left","NA","No","Yes","No","No",42,"Standard",,5,3,"No","GMP343",5,"Yes","No","D03R2",1,5,5,1,6,1,0,2,3,0,3,1,9,9,9,9,9
"DSNY","D03","1-FY14","Disney Wilderness Preserve",28.12504,-81.4362,"US/Eastern","Relocatable","Non-heated","No","N/A","No",26,"Self Supporting",2,"Standard","Standard",0,"No",4,"Split",1,2,3,"Combined","CD","BA","BA","A","y-AD","y-BC","C","Right","NA","No","No","No","No",42,"Standard",,4,3,"No","GMP343",5,"Yes","No","D03R1",1,3,3,1,4,1,0,2,3,0,3,1,9,9,9,9,9
"LAJA","D04","B-FY15-1","Lajas Experimental Station",18.02125,-67.0769,"UCT-4","Relocatable","Non-heated","No","N/A","No",26,"Self Supporting",2,"Standard","Standard",0,"No",4,"Split",1,2,3,"Combined","CD","BA","BA","A","AD","y-BC","C","Right","NA","No","No","No","No",42,"Standard",,4,3,"No","GMP343",5,"Yes","No","D04R1",1,3,3,1,4,1,0,2,3,0,3,1,9,9,9,9,9
"GUAN","D04",,"Guanica Forest",17.96955,-66.8687,"UCT-4","Core","Non-heated","No","No Power, No Fiber","Yes",72,"Guyed",6,"Standard","Standard",0,"No",5,"Split",2,3,4,"Combined","CD","BA","BA","A","y-AD","y-BC","C","Right","NA","No","Yes","No","Yes",42,"Standard",,5,3,"No","GMP343",5,"Yes","No","D04C",1,4,4,1,5,1,1,2,3,1,3,1,9,9,9,9,9
